timestamp,Intensity,emotion
2024-11-21 01:02:17.938732,0.9549254,surprise
2024-11-21 01:02:18.616637,0.9599026,happy
2024-11-21 01:02:19.302406,0.9828796,happy
2024-11-21 01:02:19.912613,0.9982115,happy
2024-11-21 01:02:20.496725,0.94959444,happy
2024-11-21 01:02:21.109156,0.9882349,happy
2024-11-21 01:02:21.642867,0.87679195,happy
2024-11-21 01:02:22.213212,0.51488626,surprise
2024-11-21 01:02:22.771983,0.7009982,surprise
2024-11-21 01:02:23.322438,0.99396604,angry
2024-11-21 01:02:23.912080,0.82360023,happy
2024-11-21 01:02:24.491149,0.984528,happy
2024-11-21 01:02:25.053120,0.98646903,surprise
2024-11-21 01:02:25.775753,0.9867693,surprise
2024-11-21 01:02:26.281038,0.86124206,surprise
2024-11-21 01:02:26.814361,0.9492859,surprise
2024-11-21 01:02:27.322478,0.70823514,surprise
2024-11-21 01:02:27.793928,0.6613893,surprise
2024-11-21 01:02:28.156241,0.9834774,surprise
2024-11-21 01:02:28.494258,0.4847948,surprise
2024-11-21 01:02:28.837842,0.99843377,surprise
2024-11-21 01:02:29.176752,0.99955386,surprise
2024-11-21 01:02:32.634450,0.9990202,surprise
2024-11-21 01:02:33.161856,0.99993026,surprise
2024-11-21 01:02:33.524085,0.91496176,surprise
