Timestamp,Frame Path
2024-11-21 01:07:42.020,frames/2024-11-21 01_07_42_020.png
2024-11-21 01:07:44.606,frames/2024-11-21 01_07_44_606.png
2024-11-21 01:07:46.722,frames/2024-11-21 01_07_46_722.png
2024-11-21 01:07:47.411,frames/2024-11-21 01_07_47_411.png
2024-11-21 01:07:48.069,frames/2024-11-21 01_07_48_069.png
2024-11-21 01:07:48.701,frames/2024-11-21 01_07_48_701.png
2024-11-21 01:07:49.369,frames/2024-11-21 01_07_49_369.png
2024-11-21 01:07:50.045,frames/2024-11-21 01_07_50_045.png
2024-11-21 01:07:50.613,frames/2024-11-21 01_07_50_613.png
2024-11-21 01:07:51.164,frames/2024-11-21 01_07_51_164.png
2024-11-21 01:07:51.729,frames/2024-11-21 01_07_51_729.png
2024-11-21 01:07:52.316,frames/2024-11-21 01_07_52_316.png
2024-11-21 01:07:52.898,frames/2024-11-21 01_07_52_898.png
2024-11-21 01:07:53.468,frames/2024-11-21 01_07_53_468.png
2024-11-21 01:07:54.046,frames/2024-11-21 01_07_54_046.png
2024-11-21 01:07:54.670,frames/2024-11-21 01_07_54_670.png
2024-11-21 01:07:55.300,frames/2024-11-21 01_07_55_300.png
2024-11-21 01:07:55.854,frames/2024-11-21 01_07_55_854.png
2024-11-21 01:07:56.206,frames/2024-11-21 01_07_56_206.png
2024-11-21 01:07:56.817,frames/2024-11-21 01_07_56_817.png
2024-11-21 01:07:57.398,frames/2024-11-21 01_07_57_398.png
